,cmc,color,name,type,star_score,board_ratio
1542,3,MURW,TBLD Jeskai Ascendancy,Enchantment,0,
1540,3,MWBG,TBLD Abzan Ascendancy,Enchantment,0,1.0
1539,6,R,TBLD Mirror March,Enchantment,0,
1538,4,W,TBLD Great Teachers Decree,Flash Sorcery,0,
1537,2,B,TBLD Dutiful Return,Sorcery,0,
1536,3,R,TBLD Howl of the Horde,Sorcery,0,
1535,2,MBR,TBLD Pain Magnification,Enchantment,0,1.0
1533,3,W,TBLD Banishing Light,Enchantment,0,
1545,3,MBGU,TBLD Sultai Ascendancy,Enchantment,0,
1532,4,G,TBLD Tranquility,Sorcery,0,0.0
1530,6,W,TBLD Radiant Anthem,Flash Enchantment,0,
1529,3,G,TBLD Whirlwind,Sorcery,0,
1525,4,C,TBLD Hedron Archive,Artifact,0,
1524,3,W,TBLD Enchanters Wand,Artifact,0,
1523,2,R,TBLD Battlemages Wand,Artifact,0,
1522,1,G,TBLD Sages Wand,Artifact,0,
1521,1,B,TBLD Lichs Wand,Artifact,0,
1520,2,U,TBLD Oracles Wand,Artifact,0,
1519,1,C,TBLD Sinister Bauble,Artifact,0,1.0
1518,1,C,TBLD Reflective Bauble,Artifact,0,
1531,2,MGW,TBLD Conclaves Call,Sorcery,0,1.0
1546,3,MGUR,TBLD Temur Ascendancy,Enchantment,0,
1547,3,MWUB,TBLD Esper Ascendancy,Enchantment,0,
1548,3,MBRG,TBLD Jund Ascendancy,Enchantment,0,
1572,6,R,TBLD Tyranical Roaster,Creature - Dragon ,0,
1571,6,C,TBLD Court Huntsman,Creature - Human Scout ,0,
1570,3,B,TBLD Seeking Specter,Creature - Spirit ,0,1.0
1569,4,G,TBLD Ironscale Hydra,Creature - Hydra ,0,1.0
1568,6,C,TBLD Primeval Hydra,Creature - Hydra ,0,1.0
1567,6,C,TBLD Seismic Spike,Sorcery,0,0.0
1566,6,C,TBLD Failed Inspection,Flash Sorcery,0,
1565,3,G,TBLD Hunters Bidding,Sorcery,0,1.0
1564,2,MUB,TBLD Tyrants Scorn,Flash Sorcery,0,
1563,3,G,TBLD Strength of the Pack,Sorcery,0,
1562,5,G,TBLD Overwhelm,Sorcery,0,0.0
1560,8,C,TBLD Corpse Enlistment,Sorcery,0,
1559,1,W,TBLD Bring Down,Sorcery,0,
1558,2,HRW,TBLD Double Cleave,Flash Sorcery,0,
1557,1,W,TBLD Isolate,Flash Sorcery,0,
1556,10,U,TBLD Telepathic Overload,Flash Sorcery,0,1.0
1555,1,U,TBLD Dream Twist,Sorcery,0,1.0
1554,2,W,TBLD Memorialize,Flash Sorcery,0,
1553,3,MWU,TBLD Moderation,Enchantment,0,
1552,3,MBR,TBLD Theater of Horrors,Enchantment,0,1.0
1551,6,U,TBLD New Perspectives,Enchantment,0,
1550,4,B,TBLD Pestilence,Enchantment,0,
1549,3,MGWU,TBLD Bant Ascendancy,Enchantment,0,1.0
1574,6,C,TBLD Moltensteel Hellkite,Artifact Creature - Phyrexian Dragon ,0,
1632,2,MUB,TBLD Duskmantle Wraith,Creature - Spirit ,0,
1633,3,MGRW,TBLD Woolly Thoctar,Creature - Beast ,0,
1635,7,G,TBLD Naermuthian Titan,Creature - Beast ,0,
1735,1,U,TBLD Inquisitive Sprite,Creature - Faerie Scout ,0,
1731,3,B,TBLD Infinite Obliteration,Sorcery,0,0.375
1730,3,B,TBLD Dispossess,Sorcery,0,0.0
1729,3,B,TBLD Love Lost,Sorcery,0,0.0
1728,2,B,TBLD Assassin Squad Ambush,Flash Sorcery,0,1.0
1724,1,U,TBLD Flitting Sentry,Flash Creature - Faerie Soldier ,0,
1723,2,U,TBLD Marsh Pixie,Flash Creature - Faerie Rogue ,0,
1722,4,U,TBLD Concentrate,Sorcery,0,
1720,4,R,TBLD Hidetsugus Second Rite,Flash Sorcery,0,
1719,1,B,TBLD Foul-Tongue Shriek,Flash Sorcery,0,0.5714285714285714
1736,1,U,TBLD Hexmuddle Changeling,Creature - Shapeshifter ,0,1.0
1717,3,G,TBLD Chord of Calling,Flash Sorcery,0,
1715,4,R,TBLD Sowing Salt,Sorcery,0,
1713,2,U,TBLD Triton Fortune Hunter,Creature - Merfolk Knight ,0,
1712,4,U,TBLD Rising Empress,Creature - Merfolk Noble ,0,
1711,2,U,TBLD Lullmage Mentor,Creature - Merfolk Wizard ,0,1.0
1710,2,W,TBLD Judge of Currents,Creature - Merfolk Wizard ,0,
1709,3,G,TBLD Swift Warden,Creature - Merfolk Warrior ,0,1.0
1708,3,G,TBLD Jungleborn Pioneer,Creature - Merfolk Scout ,0,1.0
1707,3,W,TBLD Veteran of the Depths,Creature - Merfolk Soldier ,0,
1706,2,B,TBLD Hollowsage,Creature - Merfolk Wizard ,0,
1705,2,U,TBLD Eddy Shaman,Creature - Merfolk Shaman ,0,
1716,1,U,TBLD Trickbind,Flash Sorcery,0,
1737,3,U,TBLD Shoal Serpent,Creature - Leviathan ,0,1.0
1738,1,R,TBLD Fire-Belly Changeling,Creature - Shapeshifter ,0,
1739,1,G,TBLD Game-Trail Changeling,Creature - Shapeshifter ,0,1.0
1770,3,G,TBLD Monstrify,Sorcery,0,1.0
1769,4,U,TBLD Abstruse Epiphany,Flash Sorcery,0,
1767,2,G,TBLD Pounce,Flash Sorcery,0,0.0
1766,1,G,TBLD Unnatural Aggression,Flash Sorcery,0,
1765,3,C,TBLD Devour the Weak,Sorcery,0,0.6666666666666666
1764,3,C,TBLD Birthing Slime,Artifact Creature - Phyrexian Ooze ,0,1.0
1762,6,MWU,TBLD Inscrutable Magistrate,Flash Creature - Sphinx ,0,
1761,7,U,TBLD Neosteel Stealth Unit,Flash Artifact Creature - Construct ,0,1.0
1760,3,C,TBLD Salvage Seeker,Artifact Creature - Phyrexian ,0,
1759,5,C,TBLD Phyrexian Arcanist,Artifact Creature - Phyrexian Wizard ,0,
1758,2,U,TBLD Think Twice,Flash Sorcery,0,0.9090909090909091
1754,1,R,TBLD Positronic Ritual,Sorcery,0,1.0
1753,1,R,TBLD Hired Hit,Flash Sorcery,0,1.0
1752,1,R,TBLD Play with Fire,Flash Sorcery,0,
1751,1,R,TBLD Crackling Burst,Flash Sorcery,0,0.95
1749,3,G,TBLD Scurry Oak,Creature - Treefolk ,0,
1748,2,G,TBLD Undergrowth Mystic,Creature - Elf Shaman ,0,
1747,2,MGU,TBLD Morphic Lump,Creature - Shapeshifter ,0,1.0
1745,2,G,TBLD Sylvok Tangleshaper,Creature - Human Shaman ,0,
1744,2,G,TBLD Graceful Changeling,Creature - Shapeshifter ,0,1.0
1742,2,G,TBLD Jade Fang Gorgon,Creature - Gorgon Warrior ,0,
1741,1,G,TBLD Elves of Deep Shadow,Creature - Elf Shaman ,0,
1740,1,G,TBLD Viridian Acolyte,Creature - Elf Shaman ,0,
1704,2,U,TBLD Merfolk Looter,Creature - Merfolk Rogue ,0,
1703,1,U,TBLD Atlantean Sentinel,Flash Creature - Merfolk Soldier ,0,
1702,2,MUR,TBLD Priestess of the Deep,Creature - Merfolk Cleric ,0,
1701,2,MUR,TBLD Razorfin Hunter,Creature - Merfolk Goblin ,0,
1665,8,R,TBLD Bearer of the Heavens,Creature - Giant ,0,
1664,3,G,TBLD Sporescatter Mycoid,Creature - Fungus ,0,1.0
1663,2,G,TBLD Rot Shambler,Creature - Fungus ,0,
1662,1,G,TBLD Woopip Sage,Creature - Fungus Shaman ,0,1.0
1661,1,G,TBLD Gilded Goose,Creature - Bird ,0,1.0
1660,1,HGW,TBLD Vernadi Caryatid,Creature - Nymph ,0,1.0
1659,4,MRG,TBLD Zhur-Taa Gore Swine,Creature - Boar ,0,1.0
1658,4,MGW,TBLD Chorus Summoner,Creature - Nymph ,0,1.0
1657,4,U,TBLD Novijen Sages,Creature - Human Advisor Mutant ,0,1.0
1655,1,G,TBLD Copperhorn Scout,Creature - Elf Scout ,0,
1654,1,G,TBLD Gladecover Ranger,Creature - Elf Scout ,0,1.0
1653,1,G,TBLD Crop Watcher,Artifact Creature - Scarecrow ,0,0.0
1652,1,G,TBLD Hungry Whelp,Creature - Hydra ,0,1.0
1651,2,G,TBLD Digital Witness,Creature - Mutant Advisor ,0,0.0
1649,1,G,TBLD Highland Tracker,Creature - Human Scout ,0,1.0
1647,3,U,TBLD Stinging Floater,Creature - Jellyfish ,0,
1644,1,U,TBLD Elusive Trickster,Flash Creature - Fox ,0,1.0
1643,2,R,TBLD Feisty Runt,Creature - Beast ,0,1.0
1641,2,G,TBLD Ulvenwald Captive,Creature - Werewolf Horror ,0,
1639,4,B,TBLD Bloodline Keeper,Creature - Vampire Noble ,0,1.0
1638,1,B,TBLD Slinking Spectre,Creature - Spirit ,0,1.0
1637,2,G,TBLD Hissing Ambusher,Flash Creature - Snake ,0,1.0
1636,2,G,TBLD Gatstaf Grave Digger,Creature - Human Rogue Werewolf ,0,
1666,6,W,TBLD Triumphant Asura,Creature - Giant ,0,1.0
1517,7,C,TBLD Platinum Angel,Artifact Creature - Angel ,0,1.0
1667,2,G,TBLD Lyxchan Seer,Creature - Snake Shaman ,0,1.0
1669,3,W,TBLD Irregular Cohort,Creature - Shapeshifter ,0,
1700,2,W,TBLD Standard Bearer,Creature - Human Flagbearer ,0,
1699,2,W,TBLD Tithe Taker,Creature - Human Soldier ,0,0.0
1698,1,B,TBLD Barbed Merfolk,Creature - Merfolk Rogue ,0,1.0
1696,2,U,TBLD Veteran Roilsage,Creature - Merfolk Wizard ,0,1.0
1695,2,W,TBLD Quilled Sliver,Creature - Sliver ,0,
1694,3,W,TBLD Harpoon Sniper,Creature - Merfolk Archer ,0,
1692,4,W,TBLD Summon the School,Sorcery,0,
1691,4,R,TBLD Reality Scramble,Sorcery,0,1.0
1689,1,B,TBLD Fungal Infection,Flash Sorcery,0,0.0
1687,5,G,TBLD Maul,Sorcery,0,0.0
1686,2,G,TBLD Territory Dispute,Flash Sorcery,0,0.0
1685,3,W,TBLD Pious Invocation,Flash Sorcery,0,
1683,2,G,TBLD Scarlet Gloomwidow,Creature - Spider ,0,
1682,1,G,TBLD Deadly Recluse,Creature - Spider ,0,1.0
1681,4,MBG,TBLD Rotwidow Pack,Creature - Spider ,0,
1680,3,G,TBLD Pit Spinner,Flash Creature - Spider ,0,1.0
1679,1,G,TBLD Honeypot Spider,Creature - Spider ,0,
1678,4,G,TBLD Stingerfling Spider,Creature - Spider ,0,
1677,5,G,TBLD Archweaver,Creature - Spider ,0,
1676,4,G,TBLD Homesteader Tarantula,Creature - Spider ,0,
1674,8,U,TBLD Sphinx of the Second Sun,Creature - Sphinx ,0,1.0
1671,2,W,TBLD Loxodon Militant,Creature - Elephant Soldier ,0,0.0
1670,5,W,TBLD Tribunal Hierarch,Creature - Elephant Cleric ,0,1.0
1668,5,G,TBLD Mycoloth,Creature - Fungus ,0,
1771,1,R,TBLD Magma Spray,Flash Sorcery,0,0.0
1514,5,C,TBLD Self-Assembler,Artifact Creature - Construct ,0,0.6363636363636364
1510,2,R,TBLD Shredded Sails,Flash Sorcery,0,0.0
1339,2,MBG,TBLD Soil Charm,Flash Sorcery - Charm ,0,1.0
1338,3,MRBG,TBLD Savagery Charm,Flash Sorcery - Charm ,0,
1337,2,MWB,TBLD Reverence Charm,Flash Sorcery - Charm ,0,
1336,2,MWU,TBLD Patience Charm,Flash Sorcery - Charm ,0,1.0
1335,2,MUB,TBLD Paranoia Charm,Flash Sorcery - Charm ,0,1.0
1334,3,MGRW,TBLD Majesty Charm,Flash Sorcery - Charm ,0,
1333,3,MUWB,TBLD Judgement Charm,Flash Sorcery - Charm ,0,
1332,3,MGUR,TBLD Instinct Charm,Flash Sorcery - Charm ,0,
1330,3,MWGU,TBLD Harmony Charm,Flash Sorcery - Charm ,0,
1329,3,MURW,TBLD Focus Charm,Flash Sorcery - Charm ,0,
1340,2,MBR,TBLD Spite Charm,Flash Sorcery - Charm ,0,1.0
1327,3,MWBG,TBLD Endurance Charm,Flash Sorcery - Charm ,0,
1323,3,MWBR,TBLD Conquest Charm,Flash Sorcery - Charm ,0,
1322,2,C,TBLD Industry Charm,Flash Sorcery - Charm ,0,0.8
1321,9,G,TBLD Impervious Greatwurm,Creature - Wurm ,0,1.0
1320,2,MGU,TBLD Reagent Ooze,Creature - Ooze ,0,
1319,2,HBR,TBLD Cryptborn Horror,Creature - Horror ,0,
1318,2,G,TBLD Gelatinous Hydra,Creature - Hydra Ooze ,0,0.9
1317,3,G,TBLD Settle,Sorcery,0,
1316,2,MBG,TBLD Drown in Filth,Sorcery,0,
1313,9,MWR,TBLD Wind_Rain,Sorcery // Flash Sorcery,0,
1312,4,R,TBLD Survey the Wreckage,Sorcery,0,1.0
1326,3,MUBG,TBLD Dominion Charm,Flash Sorcery - Charm ,0,
1341,2,MRG,TBLD Wilderness Charm,Flash Sorcery - Charm ,0,
1342,2,MRW,TBLD Zeal Charm,Flash Sorcery - Charm ,0,
2284,3,MBR,TBLD Night Call,Sorcery,0,
1379,2,MBR,TBLD Infernal Tribute,Sorcery,0,1.0
1378,1,B,TBLD Hang,Sorcery,0,0.25
1376,2,B,TBLD Eviscerate,Sorcery,0,0.0
1375,3,W,TBLD Regal Comfort,Flash Sorcery,0,
1374,2,B,TBLD Grasp of Darkness,Flash Sorcery,0,0.0
1372,2,B,TBLD Sudden Edict,Flash Sorcery,0,
1370,2,HWB,TBLD Death of a Champion,Flash Sorcery,0,0.0
1369,1,G,TBLD Massive Growth Spurt,Enchantment - Aura ,0,1.0
1368,3,B,TBLD Underworld Connections,Enchantment - Aura ,0,0.0
1365,4,B,TBLD Barter in Blood,Sorcery,0,
1364,2,R,TBLD Simmering Ritual,Sorcery,0,
1363,5,B,TBLD Presence of Evil,Sorcery,0,
1358,4,U,TBLD Phantasmal Dreadmaw,Creature - Dinosaur Illusion ,0,
1357,2,G,TBLD Sanctum Weaver,Enchantment Creature - Dryad ,0,1.0
1356,4,G,TBLD Grazing Musksnuffler,Enchantment Creature - Fungus Elemental ,0,1.0
1355,4,B,TBLD Bitterwhelk,Enchantment Creature - Elemental ,0,1.0
1354,6,C,TBLD Diabolic Tutor,Flash Sorcery,0,1.0
1353,2,B,TBLD Illicit Knowledge,Sorcery,0,1.0
1352,2,B,TBLD Shrivel,Sorcery,0,0.0
1351,1,B,TBLD Tragic Slip,Flash Sorcery,0,0.2
1350,8,C,TBLD Sparkstorm,Sorcery,0,
1348,2,R,TBLD Solstice Charm,Flash Sorcery - Charm ,0,1.0
1344,3,C,TBLD Warp Charm,Flash Sorcery - Charm ,0,1.0
1311,3,R,TBLD Stone Rain,Flash Sorcery,0,0.75
1380,1,B,TBLD Innocent Blood,Sorcery,0,
1310,2,MBR,TBLD Rakdoss Return,Sorcery,0,1.0
1308,4,R,TBLD Rageboiler of Mogis,Enchantment Creature - Minotaur ,0,1.0
1279,3,R,TBLD Seething Song,Flash Sorcery,0,1.0
1278,1,R,TBLD Mana Rite,Flash Sorcery,0,1.0
1277,1,U,TBLD Maximize Altitude,Flash Sorcery,0,1.0
1276,1,R,TBLD Maximize Velocity,Sorcery,0,1.0
1275,1,R,TBLD Renegade Tactics,Sorcery,0,1.0
1274,1,R,TBLD Magma Spikes,Sorcery,0,1.0
1272,3,HGW,TBLD Clachan Unity,Sorcery,0,1.0
1271,5,G,TBLD Shared Summons,Flash Sorcery,0,
1269,3,U,TBLD Thirst for Meaning,Flash Sorcery,0,0.0
1268,2,G,TBLD Grapple with the Past,Flash Sorcery,0,
1280,1,R,TBLD Hearts Yearning,Flash Sorcery,0,1.0
1267,1,B,TBLD Vindictive Changeling,Creature - Shapeshifter ,0,1.0
1265,1,W,TBLD Empathetic Changeling,Creature - Shapeshifter ,0,
1264,2,W,TBLD Teesh Fair Mousemaiden,Legendary Creature - Rat Cleric ,0,0.6666666666666666
1263,1,W,TBLD Gentle Hierophant,Creature - Elf Shaman ,0,
1262,4,G,TBLD Nullmage Shepherd,Creature - Elf Shaman ,0,
1260,4,G,TBLD Conclave Stone-Seeder,Creature - Elf Shaman ,0,
1259,2,MGW,TBLD Nurturing Herbalist,Creature - Human Shaman ,0,
1258,2,U,TBLD Field Researcher,Creature - Elf Wizard ,0,0.0
1257,2,MRG,TBLD Savageborn Hydra,Creature - Hydra ,0,
1256,2,MUR,TBLD Beamsplitter Mage,Creature - Vedalken Wizard ,0,0.0
1255,1,HUR,TBLD Nivmagus Elemental,Creature - Elemental ,0,
1266,3,C,TBLD Changeling Weirder,Creature - Shapeshifter ,0,1.0
1281,2,B,TBLD Ransack the Lab,Sorcery,0,
1282,2,R,TBLD Glorious End,Flash Sorcery,0,1.0
1283,1,R,TBLD Assault Strobe,Sorcery,0,1.0
1307,7,R,TBLD Faultgrinder,Flash Enchantment Creature - Elemental ,0,1.0
1305,4,MUR,TBLD Nimble Amalgam,Creature - Zombie Rogue ,0,1.0
1304,2,R,TBLD Tigers Claw Apprentice,Creature - Elf Monk ,0,
1303,2,U,TBLD Mistfire Disciple,Creature - Human Monk ,0,
1302,2,R,TBLD Abbot of Keral Keep,Creature - Human Monk ,0,0.8
1301,5,R,TBLD Cyclops Electromancer,Creature - Giant Wizard ,0,
1300,2,R,TBLD Dragonkin Berserker,Creature - Human Berserker ,0,
1299,4,U,TBLD Wing Splicer,Creature - Phyrexian Artificer ,0,
1298,4,W,TBLD Master Splicer,Creature - Phyrexian Artificer ,0,
1297,4,W,TBLD Sensor Splicer,Creature - Phyrexian Artificer ,0,
1296,4,G,TBLD Vital Splicer,Creature - Phyrexian Artificer ,0,
1295,6,G,TBLD Maul Splicer,Creature - Phyrexian Artificer ,0,
1294,6,U,TBLD Brine Giant,Creature - Giant ,0,
1293,5,G,TBLD Howling Giant,Creature - Giant Shaman ,0,
1292,2,R,TBLD Goblin Spymaster,Creature - Goblin Warrior ,0,
1291,2,R,TBLD Stone-Sling Squad,Creature - Goblin Warrior ,0,
1290,2,R,TBLD Mardu Scout,Creature - Goblin Scout ,0,
1289,3,MUR,TBLD Beacon Bolt,Sorcery,0,
1288,1,R,TBLD Raze,Flash Sorcery,0,
1287,2,B,TBLD Torment of Hailfire,Sorcery,0,1.0
1286,2,B,TBLD Heinous Offering,Sorcery,0,1.0
1285,2,G,TBLD Natures Lore,Sorcery,0,
1284,2,G,TBLD Buried Treasure,Flash Sorcery,0,
1309,4,MRW,TBLD Armageddons Arrival,Sorcery,0,1.0
1382,2,G,TBLD Natures Embrace,Sorcery,0,0.75
1383,2,R,TBLD Barbed Lightning,Flash Sorcery,0,
1384,2,W,TBLD Roar of the Kha,Flash Sorcery,0,
1478,1,U,TBLD Dizzy Spell,Flash Sorcery,0,
1477,2,W,TBLD Sojourn,Flash Sorcery,0,
1475,2,C,TBLD Summoning Stone,Artifact,0,1.0
1474,2,W,TBLD Kor Skyfisher,Creature - Kor Scout ,0,
1473,1,W,TBLD Glint Hawk,Creature - Bird ,0,
1472,2,C,TBLD Alchemists Vial,Artifact,0,
1471,2,C,TBLD Scorpion Turret,Artifact,0,
1469,0,C,TBLD Mox Pyrite,Artifact,0,1.0
1467,0,C,TBLD Mox Tantalite,Artifact,0,1.0
1465,1,C,TBLD Navigators Bauble,Artifact,0,1.0
1479,1,B,TBLD Village Rites,Flash Sorcery,0,0.375
1464,1,C,TBLD Chromatic Bauble,Artifact,0,1.0
1462,1,C,TBLD Riftsweepers Bauble,Artifact,0,1.0
1461,7,C,TBLD Meteor Golem,Artifact Creature - Golem ,0,1.0
1460,5,C,TBLD Gilded Lotus,Artifact,0,1.0
1459,4,C,TBLD Smokestack,Artifact,0,1.0
1458,4,C,TBLD Sandstone Sentinel,Artifact Creature - Golem ,0,1.0
1456,3,R,TBLD Seize the Spoils,Sorcery,0,
1455,2,MBR,TBLD Terminal Agony,Sorcery,0,
1454,3,R,TBLD Magic Missile,Sorcery,0,
1453,4,R,TBLD Unexpected Windfall,Flash Sorcery,0,
1452,2,MWB,TBLD Castigate,Sorcery,0,
1463,1,C,TBLD Commanders Bauble,Artifact,0,1.0
1480,5,B,TBLD From Under the Floorboards,Sorcery,0,
1481,3,W,TBLD Refreshing Breeze,Flash Sorcery,0,
1482,3,U,TBLD Keeper of Antiquities,Creature - Merfolk Wizard ,0,1.0
1509,1,R,TBLD Crash Through,Sorcery,0,1.0
1508,5,R,TBLD Scrap Mastery,Sorcery,0,1.0
1507,4,R,TBLD Granulate,Sorcery,0,
1505,1,C,TBLD Neural Integrator,Artifact,0,0.5
1504,2,C,TBLD Prophetic Prism,Artifact,0,1.0
1503,7,U,TBLD Scholar of the Ages,Creature - Human Wizard ,0,
1502,3,U,TBLD Merfolk Skyscout,Creature - Merfolk Scout ,0,
1500,4,U,TBLD Tempest Caller,Creature - Merfolk Wizard ,0,1.0
1498,4,U,TBLD Shipwreck Dowser,Creature - Merfolk Wizard ,0,1.0
1496,2,R,TBLD Kiln Fiend,Creature - Elemental Beast ,0,1.0
1495,2,R,TBLD Arena Athlete,Creature - Human ,0,1.0
1494,3,R,TBLD Irreverent Revelers,Creature - Satyr ,0,
1493,1,R,TBLD Satyr Hoplite,Creature - Satyr Soldier ,0,1.0
1492,1,W,TBLD Skophos Reformed,Creature - Minotaur Soldier ,0,
1491,4,W,TBLD Dawnbringer Charioteers,Creature - Human Soldier ,0,
1490,2,W,TBLD Phalanx Leader,Creature - Human Soldier ,0,
1489,1,R,TBLD Akroan Crusader,Creature - Human Soldier ,0,
1488,3,B,TBLD Curse-Blood Morrigan,Creature - Human Rogue ,0,
1487,1,B,TBLD Tormented Hero,Creature - Human Warrior ,0,
1486,2,MWU,TBLD Battlewise Hoplite,Creature - Human Soldier ,0,
1485,4,G,TBLD Forerunner of the Heralds,Flash Creature - Merfolk Scout ,0,
1484,2,U,TBLD Wavecrash Triton,Creature - Merfolk Wizard ,0,
1483,4,U,TBLD Tidecrest Maiden,Creature - Merfolk Wizard ,0,1.0
1450,2,U,TBLD Sky Diamond,Artifact,0,
1449,2,C,TBLD Prismite,Artifact Creature - Golem ,0,
1448,2,C,TBLD Prismatic Lens,Artifact,0,1.0
1447,2,G,TBLD Moss Diamond,Artifact,0,
1415,5,B,TBLD Hail of Daggers,Flash Sorcery,0,0.625
1414,4,B,TBLD Twist of Fate,Flash Sorcery,0,
1413,4,MRW,TBLD Heroic Reinforcements,Sorcery,0,
1412,2,W,TBLD Call of Duty,Flash Sorcery,0,
1410,2,U,TBLD Call of the Clocktower,Sorcery,0,
1409,4,R,TBLD Unload,Sorcery,0,1.0
1408,2,W,TBLD Divine Gambit,Flash Sorcery,0,1.0
1406,2,W,TBLD Somber Pause,Sorcery,0,1.0
1404,2,B,TBLD Smallpox,Sorcery,0,
1403,3,B,TBLD Ghastly Bargain,Sorcery,0,0.5
1401,3,B,TBLD Memory Leak,Sorcery,0,0.0
1400,2,B,TBLD Pickpocket,Sorcery,0,0.0
1396,3,B,TBLD Infectious Outbreak,Flash Sorcery,0,
1395,3,W,TBLD Second Sunrise,Flash Sorcery,0,1.0
1393,2,B,TBLD Murderous Compulsion,Sorcery,0,0.5
1392,2,B,TBLD Victim of Night,Flash Sorcery,0,0.8
1391,2,B,TBLD Shades Craving,Flash Sorcery,0,0.375
1390,3,U,TBLD Circular Logic,Flash Sorcery,0,0.6363636363636364
1389,3,R,TBLD Gaze of Adamaro,Flash Sorcery,0,0.0
1388,2,MBR,TBLD Whiplash,Sorcery,0,1.0
1387,3,R,TBLD Fiery Temper,Flash Sorcery,0,1.0
1386,2,R,TBLD Fiery Fusillade,Sorcery,0,0.0
1385,2,U,TBLD Archival Analysis,Flash Sorcery,0,
1416,2,B,TBLD Addle,Sorcery,0,1.0
1512,1,G,TBLD River Heralds Boon,Flash Sorcery,0,
